Recency,Frequency,Monetary,Country,Churn
326,1,124.80000000000001,United Kingdom,1
2,7,4185.2,Iceland,0
75,4,1530.03,Finland,0
19,1,1443.5,Italy,0
310,1,309.35,Norway,1
36,8,1535.24,Norway,0
204,1,89.0,Bahrain,1
232,1,1073.4,Spain,1
214,1,459.4,Bahrain,1
23,3,2756.5299999999997,Portugal,0
33,1,6197.62,Switzerland,0
2,2,1017.7600000000001,Austria,0
58,4,5128.53,Cyprus,0
52,3,2424.61,Austria,0
287,1,189.85,Belgium,1
3,10,5167.63,Belgium,0
110,2,552.0,Unspecified,1
8,4,1291.1499999999999,Belgium,0
291,2,335.64,Cyprus,1
4,1,165.85,Denmark,0
51,4,3396.23,Cyprus,0
45,2,1662.51,Switzerland,0
72,3,1285.74,Denmark,0
311,1,339.55,Austria,1
25,1,663.78,Austria,0
11,2,407.40000000000003,Finland,0
315,2,1578.02,Switzerland,1
130,1,3969.34,Switzerland,1
82,2,851.99,Belgium,0
22,4,2621.96,Belgium,0
5,5,1619.86,Norway,0
185,5,1829.22,Belgium,1
29,2,485.07,Switzerland,0
338,2,401.9,Australia,1
16,6,2780.66,Australia,0
80,1,545.69,Belgium,0
22,1,437.66,Cyprus,0
72,4,1582.6000000000001,Australia,0
64,2,1005.5699999999999,Belgium,0
19,12,2971.58,Belgium,0
36,2,2395.25,Belgium,0
46,1,1510.41,Switzerland,0
119,4,1108.4,Belgium,1
303,1,84.25,Belgium,1
323,1,225.5,Belgium,1
50,1,421.6,Denmark,0
149,1,1509.99,Finland,1
22,2,3415.3,Denmark,0
50,5,1652.83,Belgium,0
33,5,2875.65,Belgium,0
79,3,11052.27,Switzerland,0
309,2,593.13,Switzerland,1
75,3,1217.63,Denmark,0
67,3,730.9,France,0
217,3,487.26,Austria,1
24,21,99764.92,Australia,0
3,9,3567.85,Belgium,0
113,1,668.58,Switzerland,1
64,1,596.39,Cyprus,0
16,4,728.74,Spain,0
96,3,728.41,Australia,1
1,8,1854.56,Belgium,0
163,2,1735.52,Australia,1
78,1,777.2,Portugal,0
195,1,569.03,Germany,1
22,3,769.17,Germany,0
26,9,6804.91,Finland,0
9,4,3672.4500000000003,Denmark,0
43,1,231.35,Norway,0
36,15,5752.56,Australia,0
43,5,4194.17,Norway,0
1,7,13187.31,Norway,0
85,2,806.14,Australia,0
80,2,7626.85,Denmark,0
100,1,458.91,Norway,1
2,18,4866.01,France,0
14,2,2634.18,Norway,0
367,1,170.5,France,1
3,1,159.01,Spain,0
21,5,4335.31,Norway,0
22,1,107.3,Spain,0
58,1,1002.3100000000001,RSA,0
243,1,476.34,Belgium,1
44,1,360.25,Spain,0
22,4,4044.79,Belgium,0
156,2,197.88,Spain,1
11,5,8984.47,Switzerland,0
17,2,380.47,Switzerland,0
134,1,707.09,Austria,1
56,1,2950.34,Spain,0
73,6,2322.21,Cyprus,0
44,3,2805.29,Switzerland,0
66,7,2146.83,Switzerland,0
71,2,847.2,Switzerland,0
94,2,701.63,Switzerland,1
19,2,1072.1399999999999,Spain,0
53,4,1320.38,Belgium,0
10,8,1199.1999999999998,Belgium,0
17,2,741.99,Belgium,0
188,2,717.34,Germany,1
2,30,19001.25,Germany,0
32,7,6478.71,Germany,0
29,5,2878.73,Germany,0
17,18,7196.34,Germany,0
54,1,722.23,Germany,0
16,11,6651.87,Germany,0
23,6,13213.74,Germany,0
4,1,590.84,Greece,0
11,1,518.05,Germany,0
28,4,3096.23,Germany,0
23,10,5474.22,Germany,0
17,8,2150.18,Sweden,0
33,6,4253.27,Spain,0
10,3,1269.51,France,0
336,1,326.83,France,1
5,10,5323.38,France,0
39,1,454.3,France,0
63,2,257.11,Germany,0
166,2,422.59,France,1
16,7,1218.65,France,0
82,1,1017.35,Germany,0
21,3,394.55,Germany,0
23,11,3763.19,Germany,0
337,1,2142.9900000000002,Germany,1
96,5,3368.57,Spain,1
18,2,472.9,Germany,0
233,1,73.5,France,1
134,3,1126.96,Spain,1
26,2,397.88,France,0
284,1,173.45,France,1
143,2,904.27,Spain,1
66,2,132.18,Israel,0
113,1,603.14,France,1
267,1,1017.68,Italy,1
353,1,323.55,Italy,1
78,2,1273.43,Germany,0
28,5,2451.1,Germany,0
1,5,2020.29,Germany,0
64,1,321.69,Germany,0
79,5,2583.46,Germany,0
143,1,590.53,Germany,1
39,2,194.62,Germany,0
19,11,1762.47,France,0
9,8,4276.94,Germany,0
1,3,1292.26,Germany,0
82,3,345.66,Germany,0
9,6,1882.68,Germany,0
60,4,1554.83,Germany,0
15,1,110.22,Germany,0
30,1,343.73,France,0
131,1,1066.8799999999999,Germany,1
92,2,716.35,France,1
43,3,4289.61,France,0
29,1,363.95,Spain,0
22,4,5554.35,Spain,0
20,17,12520.99,Spain,0
